Mã Đơn Hàng (*),Thời Gian (YYYY-MM-DD HH:MM),Trạng Thái (completed/cancelled),Tên Món (*),Biến Thể / Size,Số Lượng (*),Đơn Giá Món (*),Topping Đi Kèm,Tiền Topping,Giảm Giá Đơn,Phí Ship,Phụ Thu,Tổng Tiền Đơn,Nguồn Tiền (Tiền mặt/Chuyển khoản),Thu Ngân,Ghi Chú Đơn
XATOOCYQLU,2026-08-14 11:34:51,completed,CAM + CÀ RỐT,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
VWXGRVEQDW,2026-08-14 11:34:04,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
AAZUBLPVXO,2026-08-14 11:34:04,completed,LỰU,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
NABHIMXQSU,2026-08-14 11:34:04,completed,ỔI + CÓC,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
XYSTYRXGHW,2026-08-14 11:34:04,completed,DƯA VÀNG + TÁO,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
VDFYAHZEAS,2026-08-14 11:29:51,completed,LỰU,Size M,3,35000,,,0,0,0,105000,Chuyển khoản,NHUNG,
ZQPXAOQEIN,2026-08-14 11:29:51,completed,ỔI,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
OVPIGXZIHZ,2026-08-14 11:29:51,completed,CÓC,Size L,1,0,,,0,0,0,0,Chuyển khoản,NHUNG,
UZAPQOEJGO,2026-08-14 10:54:34,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
JDUEFCMNWN,2026-08-14 10:54:34,completed,CÓC,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
LWGHNBFHUS,2026-08-14 10:54:18,completed,CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
VUOWVACRYG,2026-08-14 10:54:18,completed,ỔI + CÓC,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
YPNQCLDEWE,2026-08-14 10:54:02,completed,CÀ PHÊ MUỐI,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
AUGGYSEHEE,2026-08-14 10:53:54,completed,CÀ PHÊ ĐEN,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
KQWSEICGED,2026-08-14 09:54:24,completed,CÓC,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
OAAOSJLUKY,2026-08-14 09:26:42,completed,CAM,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
OUGIQSALYH,2026-08-13 22:47:04,completed,DƯA HẤU,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
KVPEZXPXSX,2026-08-13 22:04:00,completed,CÓC + DỨA,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
RFZTIHWPQM,2026-08-13 22:04:00,completed,TÁO + LÊ,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
JXAQNFMPRJ,2026-08-13 21:36:06,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
XHTUQXTQTR,2026-08-13 20:48:52,completed,DỨA + CAM,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
HDFFOLXTND,2026-08-13 20:48:52,completed,DƯA HẤU,Size L,2,25000,,,0,0,0,50000,Chuyển khoản,DAT,
UERXOZVFZY,2026-08-13 20:48:52,completed,CÀ PHÊ MUỐI,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
YLBKKVJAFL,2026-08-13 20:19:13,completed,CAM,Size M,2,30000,,,0,0,0,60000,Chuyển khoản,DAT,
LEGJCZLGXW,2026-08-13 20:19:13,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
DREQQXMURT,2026-08-13 20:19:13,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
PMVSKXNDWX,2026-08-13 20:19:13,completed,DƯA HẤU,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
TXGZCLAMMA,2026-08-13 19:52:02,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
BRTODNRJWE,2026-08-13 19:38:26,completed,ỔI + CÓC,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
TIIVRYBZGM,2026-08-13 19:38:26,completed,TÁO + LÊ,Size L,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
PWBOWIGOBS,2026-08-13 19:12:03,completed,CAM,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
WAJLNGVUWY,2026-08-13 19:11:55,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
QSUQJURCAY,2026-08-13 19:10:58,completed,DƯA HẤU,Size M,3,25000,,,0,0,0,75000,Chuyển khoản,NHUNG,
HEIYISDOFU,2026-08-13 19:10:48,completed,LỰU,Size M,4,35000,,,0,0,0,140000,Tiền mặt,NHUNG,
DNFMJTJZBI,2026-08-13 18:30:50,completed,CÓC + DỨA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
QHAGOVLOJZ,2026-08-13 18:30:50,completed,CAM,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
EWMHVAKTWZ,2026-08-13 18:20:19,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
XOXHGAWLYN,2026-08-13 18:20:11,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
DXKNSXIRPD,2026-08-13 17:13:59,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
LPUNRRNFLM,2026-08-13 16:30:55,completed,CÀ PHÊ MUỐI,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
KQBAEGRIVP,2026-08-13 16:11:17,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
DXYYBKHCYY,2026-08-13 15:40:39,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
HPXYASTBFI,2026-08-13 15:27:12,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
AIZWSGYESF,2026-08-13 15:27:12,completed,DƯA HẤU,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
QXUGKKFJXS,2026-08-13 15:19:10,completed,DỨA,Size L,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
OHUEYUHEFG,2026-08-13 14:16:30,completed,TÁO,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
VMBGDWOKUV,2026-08-13 12:49:29,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
YBKSPPZYXK,2026-08-13 12:49:29,completed,ỔI,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
EMDYKIYSTU,2026-08-13 12:49:16,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
GECVXBAECE,2026-08-13 10:59:10,completed,DỨA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
NXHFHCHRDZ,2026-08-13 10:59:00,completed,CÀ PHÊ SỮA,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
YDCJUXOMAC,2026-08-12 21:59:46,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
FIAAOBNZDK,2026-08-12 20:34:58,completed,DƯA VÀNG,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
YBFDTNHAAW,2026-08-12 20:20:59,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
PVJPNMYSMH,2026-08-12 20:20:59,completed,DƯA VÀNG + LÊ,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
YWVDLEZFBB,2026-08-12 20:01:24,completed,DỨA + TÁO,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,DAT,
LUCLCCNJIT,2026-08-12 20:01:24,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,DAT,
XRPUVJTASW,2026-08-12 20:01:08,completed,DƯA VÀNG,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,DAT,
RLNRJEVGRR,2026-08-12 18:36:39,completed,DỨA + CAM,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
IFWALQXQGP,2026-08-12 18:35:37,completed,CÀ PHÊ SỮA,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NDN,
KCVZSJIRSL,2026-08-12 18:25:46,completed,CÓC + TÁO,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
ITGJRKLNSY,2026-08-12 18:13:55,completed,CAM + CÀ RỐT,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
BTUZDXQROW,2026-08-12 18:13:55,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
ZZPLPOYZKG,2026-08-12 17:16:35,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
WOEKDSACSQ,2026-08-12 16:26:42,completed,LỰU,Size L,3,35000,,,0,0,0,105000,Chuyển khoản,NHUNG,
OAOUBHRLDR,2026-08-12 16:26:42,completed,CAM,Size L,2,30000,,,0,0,0,60000,Chuyển khoản,NHUNG,
EMXXZXXAZB,2026-08-12 16:26:42,completed,ỔI + CÓC,Size M,1,0,,,0,0,0,0,Chuyển khoản,NHUNG,
VGHWDTKGVJ,2026-08-12 15:41:18,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
JDONXQBKJY,2026-08-12 15:41:18,completed,DƯA HẤU,Size L,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
ACVVQCFFKG,2026-08-12 15:24:16,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
UBZHTFZPHW,2026-08-12 15:24:16,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
HKJRTFADAG,2026-08-12 15:11:13,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
YDGMLRAKZC,2026-08-12 14:33:00,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
WQTQJIKLSS,2026-08-12 13:48:23,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
VXDTGXYWHL,2026-08-12 13:22:09,completed,DƯA VÀNG,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NHUNG,
OTNYPJSOPS,2026-08-12 11:22:39,completed,LỰU,Size L,1,35000,,,0,0,0,35000,Tiền mặt,NDN,
XUDBHSVXQK,2026-08-12 10:46:21,completed,CAM,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
USAXMYVQZI,2026-08-12 10:46:21,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NDN,
ESTMUTVOOL,2026-08-12 10:46:21,completed,DƯA HẤU,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
FIYSZAHJZR,2026-08-12 10:46:21,completed,DƯA VÀNG,Size M,1,0,,,0,0,0,0,Chuyển khoản,NDN,
JYJSDMJZBW,2026-08-12 10:45:33,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
HOHMZVAKDL,2026-08-12 09:32:43,completed,LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
ELOOKBTYET,2026-08-12 08:43:27,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
CLSFKVRHNT,2026-08-12 08:09:15,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
IXSRBWHFWN,2026-08-11 22:50:13,completed,DƯA VÀNG + TÁO,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
IDBBGFLNSK,2026-08-11 22:50:13,completed,DỨA,Size M,2,20000,,,0,0,0,40000,Tiền mặt,DAT,
KUXRLOAXXH,2026-08-11 22:50:13,completed,CÀ PHÊ MUỐI,Size M,2,25000,,,0,0,0,50000,Tiền mặt,DAT,
MMLKDUWXYB,2026-08-11 22:50:13,completed,LỰU,Size M,3,30000,,,0,0,0,90000,Tiền mặt,DAT,
QDDSCQWMQT,2026-08-11 22:01:07,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
GAZOXZDQNO,2026-08-11 21:08:39,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
YRNBNKTDVV,2026-08-11 21:08:12,completed,ỔI,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
BTOLOAKXWZ,2026-08-11 21:07:43,completed,TÁO,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
FOMRYWLJWV,2026-08-11 21:00:58,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
VNUKGTPBAI,2026-08-11 20:10:00,completed,DƯA HẤU,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
TBIYSIFCKW,2026-08-11 19:24:32,completed,DƯA VÀNG,Size M,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
TFZNXIJDPL,2026-08-11 19:24:21,completed,ỔI,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
HYIUBFZBHL,2026-08-11 19:24:21,completed,DƯA HẤU,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
FFOZYJEEUQ,2026-08-11 17:13:08,completed,DƯA HẤU,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
VTERZHDHJI,2026-08-11 16:15:41,completed,CÀ PHÊ MUỐI,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
KNFGYSNUEM,2026-08-11 15:08:10,completed,LỰU,Size M,2,35000,,,0,0,0,70000,Chuyển khoản,NDN,
WWGWHBUYWV,2026-08-11 15:08:10,completed,ỔI + CÓC,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
JNRPMNEXZR,2026-08-11 15:08:10,completed,DỨA + TÁO,Size M,1,0,,,0,0,0,0,Chuyển khoản,NDN,
BJKATMCQMW,2026-08-11 14:20:37,completed,CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
BGOPSRLYWB,2026-08-11 14:20:17,completed,LỰU,Size L,2,30000,,,0,0,0,60000,Chuyển khoản,NDN,
LLHVURFDYU,2026-08-11 14:20:17,completed,CAM + CÀ RỐT,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
FICXLOUWUJ,2026-08-11 14:20:17,completed,LỰU + TÁO,Size L,1,0,,,0,0,0,0,Chuyển khoản,NDN,
APCACGXYOA,2026-08-11 12:26:12,completed,ỔI,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
WSIYFYDPOK,2026-08-11 12:01:33,completed,LÊ,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
FKXCDVDKMZ,2026-08-11 11:11:09,completed,CAM,Size M,1,40000,,,40000,0,0,0,Tiền mặt,NDN,
WAPTYKGLNA,2026-08-11 11:10:31,completed,DỨA,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
RQAHNSDJWV,2026-08-11 10:32:28,completed,CAM,Size L,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
AMNERPRGLB,2026-08-11 09:15:05,completed,CAM,Size M,3,25000,,,0,0,0,75000,Chuyển khoản,NDN,
YUVRDCLLPT,2026-08-11 09:08:22,completed,CÀ PHÊ SỮA,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
FLAMICNXBF,2026-08-10 21:30:30,completed,CAM,Size M,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
ZAHLMQFUGQ,2026-08-10 21:21:44,completed,LỰU,Size M,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
WNABTXYAHG,2026-08-10 20:36:47,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
HHUQPZOJTT,2026-08-10 20:36:47,completed,DƯA VÀNG + TÁO,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
EPPBBRJFRG,2026-08-10 20:25:12,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
WPVEJKFBYT,2026-08-10 20:25:12,completed,ỔI + DỨA,Size L,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
QWIVQFWMFW,2026-08-10 20:24:54,completed,ỔI + CÓC,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
XKXONPHSZE,2026-08-10 19:57:47,completed,DƯA HẤU,Size M,3,20000,,,0,0,0,60000,Tiền mặt,DAT,
XUFCKOAQLI,2026-08-10 19:57:47,completed,DƯA HẤU,Size L,1,0,,,0,0,0,0,Tiền mặt,DAT,
DUKTRGZHKA,2026-08-10 19:22:35,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
JOXAJVDNLU,2026-08-10 19:12:39,completed,ỔI,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
VPMMXCVWOY,2026-08-10 19:12:39,completed,DƯA HẤU,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
HGRVWQFAHK,2026-08-10 18:45:01,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
BDLXMJSXSN,2026-08-10 18:32:14,completed,DƯA HẤU,Size M,2,25000,,,0,0,0,50000,Tiền mặt,DAT,
OGGWBNQWBX,2026-08-10 18:32:14,completed,DỨA + CAM,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
PKXGCCEMFM,2026-08-10 18:02:28,completed,LỰU,Size M,1,35000,,,0,0,0,35000,Tiền mặt,DAT,
DODXTEQDSZ,2026-08-10 17:53:54,completed,DƯA HẤU + TÁO,Size M,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
QTQYDYJFHW,2026-08-10 17:30:25,completed,CAM,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
HHRXCSLFJO,2026-08-10 16:59:42,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
VRTDTEMHAO,2026-08-10 16:59:30,completed,DƯA HẤU + TÁO,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
HJGWDZKDDQ,2026-08-10 16:59:18,completed,CAM,Size L,2,30000,,,0,0,0,60000,Tiền mặt,DAT,
LVOCQDJZCK,2026-08-10 15:57:12,completed,DƯA HẤU,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
PLSWIKWNSF,2026-08-10 15:57:12,completed,LỰU,Size L,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
PFAVAUXODX,2026-08-10 15:43:57,completed,DỨA + CAM,Size L,3,30000,,,0,0,0,90000,Chuyển khoản,NDN,
QGZPSCAWYM,2026-08-10 15:43:57,completed,DỨA + CAM,Size M,1,0,,,0,0,0,0,Chuyển khoản,NDN,
HSFWOGFNXI,2026-08-10 13:49:40,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
YQSYKPXCRV,2026-08-10 13:04:50,completed,DƯA HẤU,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
TQVBYEKUHT,2026-08-10 09:09:37,completed,DƯA VÀNG + TÁO,Size M,1,30000,,,0,0,0,30000,Tiền mặt,NDN,
YRWKIYYORW,2026-08-10 08:44:00,completed,CÀ PHÊ SỮA,Size M,1,30000,,,0,0,0,30000,Chuyển khoản,NDN,
MSESSVDJUF,2026-08-10 08:30:55,completed,DỨA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
UISMZKQXLF,2026-08-10 08:15:27,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
ZXBUFGZHDM,2026-08-09 22:39:30,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
SSQHHZWEHY,2026-08-09 22:39:30,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
XAJCAVPLGG,2026-08-09 22:02:18,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
KGYALDZXBB,2026-08-09 22:02:18,completed,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
UEHTPJWDUU,2026-08-09 22:02:18,completed,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
AZVKHCKIWG,2026-08-09 22:02:18,completed,CÀ PHÊ ĐEN,Size M,1,0,,,0,0,0,0,Chuyển khoản,NDN,
JPQYRGQDDE,2026-08-09 17:17:07,cancelled,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
YKRMDJSOWC,2026-08-09 17:17:07,cancelled,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
JQVPZYVGEW,2026-08-09 17:17:07,cancelled,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
COLVWQGRUG,2026-08-09 17:17:07,cancelled,CÀ PHÊ ĐEN,Size M,1,0,,,0,0,0,0,Chuyển khoản,NHUNG,
TMLIHVQMOP,2026-08-09 18:43:00,cancelled,LỰU,Size M,2,30000,,,0,0,0,60000,Tiền mặt,NDN,
JRNNPGRBVM,2026-08-09 18:43:00,cancelled,DƯA VÀNG + LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
XTXXFDHYZD,2026-08-09 18:43:00,cancelled,DƯA VÀNG,Size M,1,0,,,0,0,0,0,Tiền mặt,NDN,
BLEYGZXAUB,2026-08-09 22:00:28,completed,LỰU,Size L,2,30000,,,0,0,0,60000,Tiền mặt,NDN,
QABLBESSED,2026-08-09 22:00:28,completed,DƯA VÀNG + LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
HWYGNXUHXV,2026-08-09 22:00:28,completed,DƯA VÀNG,Size M,1,0,,,0,0,0,0,Tiền mặt,NDN,
QDNNQHLVQC,2026-08-09 21:43:56,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Tiền mặt,NDN,
NVTNKYNEPP,2026-08-09 21:37:20,completed,TÁO,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
UQHJNRFLVN,2026-08-09 21:34:13,completed,LỰU,Size M,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
OIJDQNUUTF,2026-08-09 21:34:13,completed,DƯA VÀNG,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
VAHWHKLQJL,2026-08-09 21:34:13,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
SRDPULHUUX,2026-08-09 21:34:13,completed,DƯA HẤU,Size M,1,0,,,0,0,0,0,Tiền mặt,NHUNG,
TEAVKFOWZY,2026-08-09 20:12:49,completed,CAM,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NDN,
FPFTTSOEEV,2026-08-09 20:12:43,completed,ỔI,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NDN,
PYXQZIQRLT,2026-08-09 19:58:55,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NDN,
NVOAHOSAQV,2026-08-09 19:26:43,completed,DƯA HẤU + CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NDN,
DFKKWRIIOC,2026-08-09 18:48:49,completed,CAM,Size M,1,30000,,,0,0,0,30000,Tiền mặt,NDN,
MPTAZCECMF,2026-08-09 18:14:21,cancelled,LỰU,Size L,2,30000,,,0,0,0,60000,Tiền mặt,NHUNG,
TAPMOQHCXX,2026-08-09 18:14:21,cancelled,DƯA VÀNG + LÊ,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
ZIVGUXKVIP,2026-08-09 18:21:33,completed,DƯA HẤU + CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
OXNRGTGXOV,2026-08-09 18:21:33,completed,DƯA VÀNG + TÁO,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
WXJPEENVEY,2026-08-09 18:14:30,completed,LỰU,Size L,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
QWEFWBHCXR,2026-08-09 18:03:47,completed,CAM,Size L,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
VVCKPHZKST,2026-08-09 17:15:31,cancelled,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
VWMSSTHATA,2026-08-09 17:15:31,cancelled,TÁO + LÊ,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
YXKWRMZRHC,2026-08-09 17:15:31,cancelled,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
GTTNCGIPLK,2026-08-09 17:14:36,completed,DƯA HẤU + CAM,Size M,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
WQHVHKSRVC,2026-08-09 16:19:13,completed,CÀ PHÊ ĐEN,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
VUDAOMHEBG,2026-08-09 16:19:13,completed,LỰU,Size L,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
GXYOXOUGUZ,2026-08-09 16:19:13,completed,DƯA HẤU + TÁO,Size M,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
KPYDKYROGK,2026-08-09 15:37:29,completed,DƯA VÀNG + TÁO,Size M,1,30000,,,0,0,0,30000,Tiền mặt,NHUNG,
NHCNRGZAXP,2026-08-09 15:33:35,completed,LỰU + TÁO,Size M,1,35000,,,0,0,0,35000,Chuyển khoản,NHUNG,
XTAKHMAOBZ,2026-08-09 13:52:47,completed,CÀ PHÊ ĐEN,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
ACPUUSZDVD,2026-08-09 13:47:59,completed,CÀ RỐT,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
KUWZPTFFYO,2026-08-09 13:47:59,completed,ỔI,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
BYSIGYQDUW,2026-08-09 13:33:26,completed,ỔI,Size L,2,20000,,,0,0,0,40000,Chuyển khoản,DAT,
CKWFKEOEQW,2026-08-09 11:38:49,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,DAT,
ZZCCHVYTLA,2026-08-09 10:46:00,completed,CAM,Size M,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
TWFQBAYBUW,2026-08-09 10:33:42,completed,CÓC,Size M,3,20000,,,0,0,0,60000,Tiền mặt,DAT,
NMIQFWLDZD,2026-08-09 10:33:42,completed,ỔI,Size L,1,20000,,,0,0,0,20000,Tiền mặt,DAT,
OYPGZFQEWA,2026-08-09 10:33:42,completed,CÓC,Size L,1,0,,,0,0,0,0,Tiền mặt,DAT,
HDIETKFGLH,2026-08-09 09:35:14,completed,DƯA VÀNG + TÁO,Size M,1,30000,,,0,0,0,30000,Tiền mặt,DAT,
SSMOYEIVOJ,2026-08-08 23:11:30,completed,DƯA HẤU,Size L,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
ZMPBBYWFJI,2026-08-08 23:11:16,completed,LỰU,Size M,2,35000,,,0,0,0,70000,Chuyển khoản,NHUNG,
