Mã Đơn Hàng (*),Thời Gian (YYYY-MM-DD HH:MM),Trạng Thái (completed/cancelled),Tên Món (*),Biến Thể / Size,Số Lượng (*),Đơn Giá Món (*),Topping Đi Kèm,Tiền Topping,Giảm Giá Đơn,Phí Ship,Phụ Thu,Tổng Tiền Đơn,Nguồn Tiền (Tiền mặt/Chuyển khoản),Thu Ngân,Ghi Chú Đơn
UFGGEAZTND,2026-07-26 13:45:04,completed,CAM + CÀ RỐT,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
BPVQEJYAOL,2026-07-26 13:45:04,completed,DỨA,Size M,1,20000,,,0,0,0,20000,Tiền mặt,NHUNG,
POBBQWBMBQ,2026-07-25 21:28:14,completed,DƯA HẤU + CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
IQNLNXTCSY,2026-07-25 20:20:26,completed,CÀ PHÊ MUỐI,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
VMVGADEFUD,2026-07-25 18:28:30,completed,DƯA HẤU + TÁO,Size M,2,25000,,,0,0,0,50000,Chuyển khoản,NHUNG,
HSPIOBUSOS,2026-07-25 18:28:30,completed,DỨA + CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
ZPFIHQZNOR,2026-07-25 18:28:30,completed,CAM,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
HQWVYTIKQG,2026-07-25 18:28:30,completed,ỔI + DỨA,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
GFFINXVOHK,2026-07-25 18:28:30,completed,DƯA VÀNG + LÊ,Size M,1,25000,,,25000,0,0,0,Chuyển khoản,NHUNG,
MUSEOZVDYJ,2026-07-25 17:56:10,completed,ỔI + CÓC,Size M,1,25000,,,0,0,0,25000,Chuyển khoản,NHUNG,
VRELWSFPTN,2026-07-25 15:23:50,completed,DƯA HẤU,Size M,1,20000,,,0,0,0,20000,Chuyển khoản,NHUNG,
MRWMFFRIQI,2026-07-25 13:47:36,completed,CAM,Size M,1,25000,,,0,0,0,25000,Tiền mặt,NHUNG,
